CustomerID,Frequency,Monetary,AvgOrderValue,TotalQuantity,AvgItemsInCart,ProductDiversity,FirstOrderDate,LastOrderDate,PctCancelled,PctReturned,PctCouponUsed,DominantPaymentMethod,DominantReferralSource,Recency,Tenure,AvgDaysBetweenOrders,IsRepeatCustomer,TenureYears,CLV_Proxy,SpendPerItem,EngagementScore,Churn,HasOrderInterval,PurchaseIntensity,ValuePerTenureDay,ReturnCancelRate,ProductSpendRatio
C10002,1,1470.03,1470.03,3,4.0,1,2023-10-16,2023-10-16,0.0,1.0,1.0,Cash,Facebook,533,533,0.0,0,1.45927446954141,1007.3704643527204,490.01,-0.649208282581426,1,0,0.001876172607879925,2.758030018761726,1.0,1470.03
C10054,1,153.48,153.48,2,7.0,1,2024-10-14,2024-10-14,0.0,1.0,1.0,Cash,Instagram,169,169,0.0,0,0.4626967830253251,331.70751479289936,76.74,-0.205846528623379,0,0,0.005917159763313609,0.9081656804733728,1.0,153.48
C10126,1,1349.8,1349.8,2,4.0,1,2023-06-18,2023-06-18,0.0,0.0,1.0,Online,Facebook,653,653,0.0,0,1.787816563997262,754.9991577335376,674.9,-0.795371498171991,1,0,0.0015313935681470138,2.0670750382848393,0.0,1349.8
C10154,1,1303.04,1303.04,4,8.0,1,2024-07-29,2024-07-29,0.0,0.0,1.0,Gift Card,Email,246,246,0.0,0,0.6735112936344969,1934.6965853658537,325.76,-0.2996345919606581,0,0,0.0040650406504065045,5.296910569105691,0.0,1303.04
C10211,1,635.9000000000001,635.9000000000001,5,10.0,1,2024-05-09,2024-05-09,1.0,0.0,1.0,Debit Card,Google,327,327,0.0,0,0.8952772073921971,710.2827981651377,127.18000000000002,-0.3982947624842895,0,0,0.0030581039755351682,1.9446483180428138,1.0,635.9000000000001
C10222,1,204.08,204.08,1,4.0,1,2023-09-27,2023-09-27,0.0,1.0,0.0,Gift Card,Google,552,552,0.0,0,1.51129363449692,135.0366304347826,204.08,-0.6723507917165988,1,0,0.0018115942028985507,0.36971014492753623,1.0,204.08
C10477,1,466.42,466.42,1,5.0,1,2023-05-03,2023-05-03,0.0,0.0,1.0,Gift Card,Email,699,699,0.0,0,1.9137577002053388,243.7194635193133,466.42,-0.851400730815041,1,0,0.001430615164520744,0.6672675250357654,0.0,466.42
C10642,1,922.74,922.74,2,5.0,1,2024-06-12,2024-06-12,0.0,0.0,1.0,Cash,Google,293,293,0.0,0,0.8021902806297057,1150.2757167235495,461.37,-0.3568818514002961,0,0,0.0034129692832764505,3.149283276450512,0.0,922.74
C10787,1,1099.28,1099.28,4,9.0,1,2023-10-23,2023-10-23,0.0,0.0,1.0,Debit Card,Email,526,526,0.0,0,1.4401095140314852,763.3308365019011,274.82,-0.6406820950053098,1,0,0.0019011406844106464,2.089885931558935,0.0,1099.28
C10791,1,355.09,355.09,1,5.0,1,2023-12-20,2023-12-20,1.0,0.0,1.0,Debit Card,Instagram,468,468,0.0,0,1.2813141683778233,277.12953525641024,355.09,-0.5700365408032034,1,0,0.002136752136752137,0.7587393162393162,1.0,355.09
C10866,1,789.5699999999999,789.5699999999999,3,5.0,1,2023-12-26,2023-12-26,0.0,0.0,0.0,Online,Instagram,462,462,0.0,0,1.264887063655031,624.2217370129869,263.19,-0.5627283800236751,1,0,0.0021645021645021645,1.709025974025974,0.0,789.5699999999999
C10892,1,754.94,754.94,2,7.0,1,2024-07-20,2024-07-20,0.0,0.0,0.0,Cash,Google,255,255,0.0,0,0.6981519507186859,1081.3405294117647,377.47,-0.3105968331299505,0,0,0.00392156862745098,2.9605490196078432,0.0,754.94
C11127,1,1306.65,1306.65,5,5.0,1,2024-08-28,2024-08-28,0.0,1.0,1.0,Credit Card,Referral,216,216,0.0,0,0.5913757700205339,2209.508854166667,261.33000000000004,-0.2630937880630169,0,0,0.004629629629629629,6.049305555555556,1.0,1306.65
C11210,1,454.6,454.6,5,9.0,1,2024-09-09,2024-09-09,0.0,0.0,1.0,Credit Card,Facebook,204,204,0.0,0,0.5585215605749486,813.9345588235295,90.92,-0.2484774665039604,0,0,0.004901960784313725,2.2284313725490197,0.0,454.6
C11415,1,2876.2,2876.2,5,7.0,1,2024-03-15,2024-03-15,0.0,0.0,1.0,Cash,Email,382,382,0.0,0,1.0458590006844628,2750.08390052356,575.24,-0.4652862362966318,1,0,0.002617801047120419,7.529319371727748,0.0,2876.2
C11473,1,146.82,146.82,2,2.0,1,2023-12-28,2023-12-28,0.0,0.0,1.0,Online,Google,460,460,0.0,0,1.2594113620807663,116.57827173913044,73.41,-0.5602923264304991,1,0,0.002173913043478261,0.31917391304347825,0.0,146.82
